Begin Time - msec	End Time - msec	Duration - msec	Block	Trial no	Stimulus	Handedness	Comments_CF	Comments_DF	NMM	Compound signs	Comments_ZS	Comments_NC	Response Translation	Response Status	ID Gloss ASLLEX
720631	721916	1285	O4	236	obj433sweater.jpg	2+							SWEATER_n	Accept++	SWEATER
723426	724626	1200	O4	237	obj125diaper.jpg	2+			NMM				DIAPER_n	Accept++	DIAPER
726505	727676	1171	O4	238	city2.png	2+			NMM				CITY_n	Accept++	CITY
728943	730114	1171	O4	239	washmachine.png	2+							WASHMACHINE_n	Accept++	WASHMACHINE
731866	733052	1186	O4	240	obj485violin.jpg	2-							GUITAR_n	Reject	GUITAR
734655	735955	1300	O4	241	obj114crackers.jpg	2-			NMM				CRACKER-n	Accept++	CRACKER
737287	738502	1215	O4	242	obj510window.jpg	2+			NMM				WINDOW_n	Accept++	WINDOW
739819	740876	1057	O4	243	obj356road.jpg	2+			NMM				ROAD_n	Accept++	ROAD
742086	743601	1515	O4	244	pants.png	2+			NMM				PANTS_n	Accept++	PANTS.1
745182	746440	1258	O4	245	lion.png	1			NMM				LION_n	Accept++	LION
747781	748996	1215	O4	246	obj445telephone.jpg	1			NMM				TELEPHONE_n	Accept++	TELEPHONE
750227	751413	1186	O4	247	hammer2.png	1			NMM				HAMMER_n	Accept++	HAMMER
753559	754574	1015	O4	248	obj315picture.jpg	2-			NMM: (mouthing 'paint')		could this sign be used as 'painting'?		PAINTBRUSH_n	Reject	PAINTBRUSH
756104	757418	1314	O4	249	obj241lettuce.jpg	1			NMM				LETTUCE_n	Accept++	LETTUCE
758702	760016	1314	O4	250	owl.png	2+			NMM				OWL_n	Accept++	OWL
761367	762709	1342	O4	251	obj226king.jpg	1			NMM				KING_n	Accept++	KING
764432	765504	1072	O4	252	obj213house.jpg	2+			NMM				HOUSE_n	Accept++	HOUSE
766747	767805	1058	O4	253	obj449tent.jpg	2+			NMM				TENT_n	Accept++	TENT
769771	771071	1300	O4	254	obj293paintbrush.jpg	2-						Unclear. Check it.	PAINTBRUSH_n	Accept++	PAINTBRUSH
772601	773701	1100	O4	255	obj091cherry.jpg	2-			NMM				CHERRY_n	Accept++	CHERRY.1
776116	777116	1000	O4	256	obj285nut.jpg	1							Don't know	Reject	DONT KNOW
778368	779796	1428	O4	257	obj183glove.jpg	2+			NMM				GLOVES_n	Accept++	GLOVES
781134	781992	858	O4	258	obj447tv.jpg	1			NMM				TV_n	Accept++	TV
783188	784431	1243	O4	259	obj201heart.jpg	1			NMM				HEART_n	Accept++	HEARTBODY
785790	786990	1200	O4	260	obj454tiger.jpg	2+			NMM				TIGER_n	Accept++	TIGER
788315	789629	1314	O4	261	bear.png	2+			NMM				BEAR_n	Accept++	BEAR
790726	791998	1272	O4	262	obj000star.jpg	2+			NMM				STAR_n	Accept++	STARS
794130	795259	1129	O4	263	obj400skirt.jpg	2-			NMM				SKIRT_n	Accept++	SKIRT
796461	797718	1257	O4	264	table.png	2-			NMM				TABLE_n	Accept++	TABLE
799071	800414	1343	O4	265	obj090cheese.jpg	2-			NMM				CHEESE_n	Accept++	CHEESE
801480	802695	1215	O4	266	obj148eye.jpg	1			NMM				EYES_n	Accept++	EYES
804941	806198	1257	O4	267	obj123desert.jpg	2-			NMM	Compound signs			DESERT_n	Accept++	DESERT
807349	808563	1214	O4	268	obj332popcorn.jpg	2+			NMM				POPCORN_n	Accept++	POPCORN
809924	810996	1072	O4	269	basketball2.png	2+			NMM				BASKETBALL_n	Accept++	BASKETBALL
812371	813599	1228	O4	270	soup.png	2-			NMM				SOUP_n	Accept++	SOUP
815095	816310	1215	O4	271	money.png	2-							MONEY_n	Accept++	MONEY
817970	819342	1372	O4	272	balloon.png	2-			NMM	Compound signs			BALLOON_n	Accept++	BALLOON
820938	822252	1314	O4	273	garage.png	2-			NMM				GARAGE_n	Accept++	GARAGE
823393	824536	1143	O4	274	milk2.png	1			NMM				MILK_n	Accept++	MILK
825804	826975	1171	O4	275	soda2.png	2-							SODA_n	Accept++	SODA
828400	829828	1428	O4	276	bath2.png	2-			NMM			Check it.	?BATH, TOILET	Reject	BATH, TOILET
831067	832396	1329	O4	277	baseball2.png	2+			NMM				BASEBALL_n	Accept++	BASEBALL
833941	835299	1358	O4	278	tea.png	2-			NMM:(mouthing coffe)				COFFE_n	Reject	COFFEE
1340519	1341705	1186	A3	287	act218plant.jpg	2+			NMM				SOW_v	Accept++	SOW
1343279	1344408	1129	A3	288	act139massage.jpg	2+			NMM				MASSAGE_v	Accept++	MASSAGE
1346125	1347468	1343	A3	289	act215snow.jpg	2+							SNOW-v	Accept++	SNOW.1
1349292	1350335	1043	A3	290	act048count.jpg	2-			NMM				COUNT-v	Accept++	COUNT
1351724	1352767	1043	A3	291	act201shower.jpg	1			NMM		lazy sign		SHOWER_n	Accept++	SHOWER
1354398	1355440	1042	A3	292	act164pour.jpg	1			NMM				POUR_v	Accept++	POUR
1357329	1358529	1200	A3	293	act019bounce.jpg	2+			NMM: (mouthing 'play')				~PLAY-v	Reject	PLAY
1360311	1361454	1143	A3	294	act264whisper.jpg	1			NMM				WHISPER-v	Accept++	WHISPER
1363007	1364064	1057	A3	295	act071dust.jpg	2-			NMM: (mouthing 'clean')		changed from +- to ++		CLEAN-v	Accept++	CLEAN
1365900	1367029	1129	A3	296	act142melt.jpg	2+			NMM				MELT-v	Accept++	MELT
1368445	1369531	1086	A3	297	act046cook.jpg	2-			NMM				COOK-v	Accept++	COOK
1371012	1372127	1115	A3	298	act012bake.jpg	2-			NMM				BAKE-v	Accept++	BAKE
1375879	1376865	986	A3	299	act144mine.jpg	1							Don't Know	Reject	
1379822	1380879	1057	A3	300	act043comb.jpg	1			NMM				COMB-v	Accept++	COMB.1
1382460	1383631	1171	A3	301	act031carry.jpg	2+			NMM				CARRY-v	Accept++	CARRY
1386184	1387527	1343	A3	302	act224spread.jpg	2-							SPREAD-v	Accept++	SPREAD
1389265	1390350	1085	A3	303	act239swim.jpg	2+			NMM				SWIM-v	Accept++	SWIM
1391889	1393104	1215	A3	304	act208slice.jpg	2-			NMM		changed from SLICE to SLICE.2		SLICE_v	Accept++	SLICE.2
1394563	1395592	1029	A3	305	act248tie.jpg	2+			NMM				TIE-v	Accept++	TIE.1
1397171	1398171	1000	A3	306	act067drive.jpg	2+			NMM			S- handshape. Lex.	DRIVE-n	Accept++	CAR
1400110	1401324	1214	A3	307	act069drown.jpg	2-			NMM				DROWN_v	Accept++	DROWN.1
1403172	1404458	1286	A3	308	act100whisper.jpg	1			NMM			He stated secret then whisper. Check it.	SECRET, WHISPER_v	Reject	SECRET, WHISPER
1407739	1409196	1457	A3	309	act206cut.jpg	2-						I noticed that the picture bring confusion to some deaf frequently. Their facial expression shows unsure.	cut-CA	Reject	is this CA?
1410932	1412061	1129	A3	310	act008walk.jpg	2+			NMM		lazy production?		WALK-v	Accept++	WALK
1413792	1414806	1014	A3	311	act089run.jpg	1			NMM	Compound signs		Clasifies.	RUN, FAUCET	Accept++	RUN_FAUCET
1417295	1418367	1072	A3	312	act222splash.jpg	2+			NMM			His facial expression showed confusion. 	CHAT-v	Reject	CHAT
1420198	1421212	1014	A3	313	act214sneeze.jpg	1			NMM				SNEEZE-v	Accept++	SNEEZE.1
1422801	1423859	1058	A3	314	act087fish.jpg	2+			NMM				FISHING-v	Accept++	FISHING
1425398	1426298	900	A3	315	act270wrap.jpg	2+			NMM: (mouthing 'open')			Check it.	OPEN_v	Reject	OPEN
1428301	1429586	1285	A3	316	act036cheer.jpg	2+						Check it.	CHEERLEADER-v	Accept++	CHEERLEADER
1431211	1432297	1086	A3	317	act070dry.jpg	1				Compound signs.			HAIRDRYER_v	Accept++	HAIRDRYER
1433807	1434893	1086	A3	318	act111howl.jpg	2+							HOWL_v	Accept++	HOWL.1
1438073	1440073	2000	A3	319	act025buckle.jpg	2-							~??	Reject	~??
1442183	1443355	1172	A3	320	act151parachute.jpg	2-							PARACHUTE-v	Accept++	PARACHUTE
1445294	1446151	857	A3	321	act068break.jpg	2+			NMM:(mouthing 'drop')				DROP-v	Accept+-	DROP
1448587	1449558	971	A3	322	act028pay.jpg	2-			NMM: (mouthing 'buy')				BUY-v	Accept++	BUY
1451426	1452626	1200	A3	323	act129light.jpg	2-				Compound signs			LIGHT_CANDLE-v	Accept+-	LIGHT_CANDLE
1454637	1455737	1100	A3	324	act138marry.jpg	2-			NMM: 'wedding'		'to wed"		WEDDING-v	Accept++	WEDDING
1457268	1458325	1057	A3	325	act204sit.jpg	2-			NMM				SIT-v	Accept++	SIT
1460663	1461791	1128	A3	326	act183sail.jpg	2+							BOAT-v	Accept+-	BOAT
1463909	1465066	1157	A3	327	act109hit.jpg	2+							BASEBALL-v	Accept++	BASEBALL
1467240	1468369	1129	A3	328	act097give.jpg	2+							GIFT-v	Accept+-	GIFT
1470414	1471500	1086	A3	329	act202sing.jpg	2-			NMM				SING-v	Accept++	SING
1473283	1474383	1100	A3	330	act016bite.jpg	2-			NMM	Compound signs		He stated that: bite to person. 	BITE_v	Accept++	BITE.1
1475987	1477059	1072	A3	331	act275zip.jpg	1			NMM		opposite direction of mov		ZIP_v	Accept++	ZIP
1480517	1481689	1172	A3	332	act074erase.jpg	1						CHECK IT. 	LECTURE-v	Reject	LECTURE
1483539	1484510	971	A3	333	act252type.jpg	2+			NMM				KEYBOARD-v	Accept++	KEYBOARD
1486991	1488191	1200	A3	334	act056decorate.jpg	2+							DECORATE-v	Accept++	DECORATE
1489701	1490816	1115	A3	335	act092follow.jpg	2+							FOLLOW-v	Accept++	FOLLOW
1493211	1494511	1300	A3	336	act135mail.jpg	2-							MAIL, SEND-V	Reject	MAIL, SEND
1496470	1497641	1171	A3	337	act095cry.jpg	2+			NMM		incomplete production, but OK		SAD-v	Accept+-	SAD
1499691	1501006	1315	A3	338	act049crash.jpg	2-							CRASH_PLANE-v	Accept+-	CRASH_PLANE
1502748	1503891	1143	A3	339	act253vacuum.jpg	1			NMM				VACUUM-v	Accept++	VACUUM
1506330	1507458	1128	A3	340	act032carve.jpg	2-					changed from CARVE.1 to CARVE	Both: S-hanshape.	CARVE-v	Accept++	CARVE
1509162	1510348	1186	A3	341	mopping.png	2+			NMM				MOP-v	Accept++	MOP
1512122	1513293	1171	A3	342	act094arrest.jpg	2+			NMM			Fisk: cheeleader.	FRISK-v	Accept+-	FRISK
1514973	1516330	1357	A3	343	act268wash.jpg	1							wash_window-CA	Accept++	ERASE.1
1518818	1520247	1429	A3	344	act088float.jpg	1							#FLOAT	Reject	#FLOAT
1522986	1524414	1428	A3	345	act188itch.jpg	2-			NMM			Double signs.	ITCH-CA	Accept++	ITCH
1525968	1527025	1057	A3	346	act004ski.jpg	2+			NMM				SKI_v	Accept++	SKI
1528378	1529449	1071	A3	347	act024brush.jpg	1			NMM				TOOTHBRUSH-v	Accept++	TOOTHBRUSH
1531109	1532366	1257	A3	348	act216somersault.jpg	2+					changed from SOMERSAULT.2 to .3 (incorrectly glossed)	Not sure. Check it. 	SOMERSAULT-CL	Accept++	SOMERSAULT.3
1534006	1535335	1329	A3	349	act106hang.jpg	2-							HANG_CLOTHES-CL	Accept+	PEG.2
1537095	1538180	1085	A3	350	rain.png	2+			NMM				RAIN_v	Accept++	RAIN
1539845	1541017	1172	A3	351	act083fight.jpg	2+			NMM				FIGHT-v	Accept++	FIGHT
1542654	1543882	1228	A3	352	act131load.jpg	2+						I don't understand. 	?	Reject	?
1545693	1546893	1200	A3	353	act185saw.jpg	2-							SAW-v	Accept++	SAW.1
1548989	1550003	1014	A3	354	act014bark.jpg	2+			NMM			He signed same for 'howl'	BARK-v	Accept++	BARK.1
1551706	1553006	1300	A3	355	act209slide.jpg	2-			NMM				SLIDE_v	Accept++	SLIDE.1
1554566	1555952	1386	A3	356	act258wash.jpg	2+			NMM			Heavy cry.	CRY_v	Reject	CRY
1558098	1559127	1029	A3	357	act098glue.jpg	1							#GLUE	Reject	#GLUE
1560863	1561978	1115	A3	358	act177save.jpg	2+					changed to RESCUE, same sign as SAFE		RESCUE-v	Accept++	RESCUE
1563700	1564872	1172	A3	359	act060dip.jpg	2-							DIP-v	Accept++	DIP
1566267	1567496	1229	A3	360	act178ride.jpg	2-					changed to RIDE_2, glossed incorrectly as RIDE		RIDE_v	Accept++	RIDE_2
1569048	1570305	1257	A3	361	act029yell.jpg	1			NMM				SHOUT-v	Accept++	SHOUT
1572314	1573457	1143	A3	362	act242teach.jpg	2+			NMM				TEACH-v	Accept++	TEACH.1
1574924	1576195	1271	A3	363	act272write.jpg	2-							WRITE-v	Accept++	WRITE
1577484	1578499	1015	A3	364	act207sleep.jpg	1			NMM				SLEEP-v	Accept++	SLEEP
1580157	1581343	1186	A3	365	act205skate.jpg	2+							ROLLERSKATING-v	Accept++	ROLLERSKATING
1583431	1584545	1114	A3	366	act137march.jpg	2+			NMM		changed to REJECT, sloppy production		?-CL	Reject	?-CL
1586127	1587312	1185	A3	367	act238sweep.jpg	2-							SWEEP-v	Accept++	SWEEP
1590528	1591643	1115	A3	368	act221cough_spit.jpg	1						I don't understand. Check it. 	?CA	Reject	?CA
1592995	1594409	1414	A3	369	act240swing.jpg	2-			NMM				SWING-v	Accept++	SWING_2
1597338	1598681	1343	A3	370	act241laugh.jpg	1							DROOL_v	Reject	DROOL
1600247	1601518	1271	A3	371	act021bowl.jpg	1			NMM		Is this a legit sigh? seems like a weird prodcution		BOWLING-v	Accept++	BOWLING.1
1603148	1604391	1243	A3	372	act154pet.jpg	2-			NMM				PET-v	Accept++	PET.1
1606351	1607808	1457	A3	373	act179roar.jpg	1							SHOUT-v	Accept++	SHOUT
1609590	1610733	1143	A3	374	act105arrest.jpg	2+			NMM				ARREST-v	Accept++	ARREST_1
1613457	1614557	1100	A3	375	act261wave.jpg	1			WAVE-v.1				WAVE_v	Accept++	WAVE.1
1616489	1617746	1257	A3	376	act232suck.jpg	2-							LICK_v	Reject	LICK
1619498	1620612	1114	A3	377	act127relax.jpg	2-			NMM		this could amost be a classifier, but it looks like misproduction of SIT. Flagged	Check it. 	RELAX-CL	Accept++	RELAX.1
1622833	1623962	1129	A3	378	act180roast.jpg	2-			NMM				COOK-v	Reject	COOK
1625493	1626550	1057	A3	379	act257walk.jpg	2+			NMM				WALK-v	Accept++	WALK
1628032	1629246	1214	A3	380	act234surf.jpg	2-			NMM				SURF-v	Accept++	SURF
1631135	1632435	1300	A3	381	act096cook.jpg	2-			NMM		flagged, he looks confused at the end but no hesitation at the start of the production		COOK-v	Accept++	COOK
1635111	1636797	1686	A3	382	act057deliver.jpg	1							~?	Reject	~?
1638194	1639379	1185	A3	383	act246throw.jpg	1			NMM				THROW_v	Accept++	THROW
1641054	1642282	1228	A3	384	act015beg.jpg	2-			NMM				BEG-v	Accept++	BEG
1644480	1645794	1314	A3	385	act200shoot.jpg	2+			NMM			Use two hands: L-handshape.	SHOOT-v	Accept++	SHOOT
1647848	1649005	1157	A3	386	act114iron.jpg	2-			NMM				IRON-v	Accept++	IRON
1650722	1652065	1343	A3	387	act159plow.jpg	1							FARM-n	Reject	FARM
1654232	1655518	1286	A3	388	act078explode.jpg	2+			NMM				EXPLODE-v	Accept++	POP.3
1657129	1658629	1500	A3	389	act225squeeze.jpg	2-			NMM				??SQUEEZE_v	Reject	?
1660332	1661790	1458	A3	390	act186punish.jpg	2-			NMM				PUNISH-v	Accept++	PUNISH
1663942	1665585	1643	A3	391	act227stand.jpg	2-			NMM: 'stretch'				STRETCH-v	Reject	STRETCH
1667773	1669330	1557	A3	392	act075erupt.jpg	2-			NMM				ERUPT-v	Accept++	ERUPT
1670819	1672019	1200	A3	393	act191serve.jpg	2+			NMM				SERVE-v	Accept++	SERVE
1674015	1675186	1171	A3	394	act081feed.jpg	2+			NMM				FEED-v	Accept++	FEED
1677459	1678573	1114	A3	395	act009fly.jpg	2-						I think that the picture seem dog follow owl. Check it. 	FOLLOW-v	Reject	FOLLOW
1680355	1681398	1043	A3	396	camping2.png	2+			NMM				CAMPING-v	Accept++	CAMPING
1682829	1683901	1072	A3	397	act149open.jpg	2+			NMM				OPEN-v	Accept++	OPEN
1687174	1688388	1214	A3	398	act262sew.jpg	2+							WEAVE-v	Accept++	WEAVE
1690135	1691149	1014	A3	399	act101shake.jpg	2+							MEET-v	Accept++	MEET
1692937	1694066	1129	A3	400	act113hunt.jpg	2+			NMM				SHOOTING-v	Accept++	SHOOTING
1695669	1696898	1229	A3	401	act189carve.jpg	2-						Use: A-handshape.	CARVE-v	Accept++	SCULPT
1698538	1699896	1358	A3	402	act026burn.jpg	2+							BURN-v	Accept++	BURN
1701828	1702942	1114	A3	403	act166propose.jpg	2+			NMM				PROPOSE-v	Accept++	PROPOSE
1704508	1705537	1029	A3	404	act247tickle.jpg	2+						He seems sign: tyoe. Check it.	TICKLE-v	Accept++	TICKLE
1709147	1710547	1400	A3	405	act013balance.jpg	2-						False start.	~DANCE_v	Reject	
1712357	1713786	1429	A3	406	act156pinch.jpg	1			NMM				PINCH-v	Accept++	PINCH
1716095	1718024	1929	A3	407	act197shave.jpg	2-			NMM				SHAVE-v	Accept++	SHAVE_2
1719699	1720970	1271	A3	408	act116juggle.jpg	2+			NMM				JUGGLE-v	Accept++	JUGGLE
1722860	1724017	1157	A3	409	act017sniff.jpg	1						Sign can be eat or sniff	sniff-v	Reject	SNIFF
1726636	1728793	2157	A3	410	act150operate.jpg	1						False start and signs not clear	?	Reject	?
1731238	1732509	1271	A3	411	act108hide.jpg	2-			NMM				HIDE-v	Accept++	HIDE
1830676	1831833	1157	A4	413	act228steal.jpg	2-							STEAL-v	Accept++	STEAL
1833180	1834194	1014	A4	414	act118kick.jpg	2-							KICK-v	Accept++	KICK
1835711	1836783	1072	A4	415	act006blow.jpg	1			NMM				BLOW-v	Accept++	BLOW
1838144	1839458	1314	A4	416	act196shave.jpg	1			NMM				SHAVE-v	Accept++	SHAVE_3
1841383	1842712	1329	A4	417	act133look.jpg	1			NMM				LOOK_AT, ?	Reject	LOOK_AT, ?
1844945	1846245	1300	A4	418	act022box.jpg	2+			NMM				BOXING-v	Accept++	BOXING
1847720	1849163	1443	A4	419	act250tow.jpg	2+			NMM				TOW-v	Accept++	TOW.2
1851151	1852165	1014	A4	420	act007argue.jpg	1						he signs with one hand. Check it.	??BLAME	Reject	?
1853995	1855238	1243	A4	421	act203sink.jpg	1							THROW-v	Reject	THROW
1856999	1858442	1443	A4	422	act063drag.jpg	2+						Not sure. Check it.	~DELIVER_v	Reject	~DELIVER
1859874	1861002	1128	A4	423	act035chase.jpg	2-							CHASE-v	Accept++	CHASE
1862263	1863577	1314	A4	424	act112hug.jpg	2+							HUG-v	Accept++	HUG
1865201	1866216	1015	A4	425	act064write.jpg	2-							WRITE-v	Accept++	WRITE
1868517	1869817	1300	A4	426	act155pick.jpg	2-							CUT-v	Accept++	TRIM.1
1871476	1872576	1100	A4	427	act059dig.jpg	2+			NMM				DIG-v	Accept++	DIG_UP
1874908	1875936	1028	A4	428	act037chew.jpg	2+							PLAY-v	Reject	PLAY
1879987	1881144	1157	A4	429	act061cut.jpg	1							Don't Know	Reject	DONT KNOW
1882762	1883876	1114	A4	430	act140measure.jpg	2+							MEASURE-v	Accept++	MEASURE
1885287	1886330	1043	A4	431	act120kneel.jpg	2-			NMM				KNEEL_v	Accept++	KNEEL
1888019	1889304	1285	A4	432	act053curl.jpg	1							CURL-v	Accept++	CURL
1890871	1891914	1043	A4	433	act110hitchhike.jpg	1							HITCHHIKE-v	Accept++	HITCHHIKE
1894289	1895360	1071	A4	434	act190sell.jpg	2+						Unclear.	?	Reject	?
1896833	1897947	1114	A4	435	act263weigh.jpg	2-							WEIGH-v	Accept++	WEIGH
1899971	1901357	1386	A4	436	act153peel.jpg	2-						False Start. He signs both hand with A-handshape.	~PEEL	Reject	~PEEL
1904175	1905160	985	A4	437	act103grind.jpg	1							Don't know	Reject	DONT KNOW
1907419	1908519	1100	A4	438	act271twist.jpg	2+							BOOK-v	Reject	BOOK
1911181	1912381	1200	A4	439	act229sting.jpg	2-			NMM				STING-v	Accept++	STING
1914334	1915563	1229	A4	440	act184salute.jpg	1			NMM				SALUTE-v	Accept++	SALUTE
1917374	1918731	1357	A4	441	act122knit.jpg	2+							KNITTING-v	Accept++	KNITTING
1920491	1921819	1328	A4	442	act181row.jpg	2+			NMM				ROW-v	Accept++	ROW
1923495	1924623	1128	A4	443	act233sunbathe.jpg	1			NMM				SUNBATHE-v	Accept++	SUNBATHE
1926139	1927510	1371	A4	444	act050crawl.jpg	2-							CRAWL-v	Accept++	CRAWL
1929049	1930335	1286	A4	445	act003paint.jpg	2-							PAINT-v	Accept++	PAINTBRUSH
1933303	1934418	1115	A4	446	act045conduct.jpg	1							Don't Know	Reject	DONT KNOW
1935970	1937170	1200	A4	447	act001dive.jpg	2-			NMM				DIVE-v	Accept++	DIVE_1
1940121	1941407	1286	A4	448	act126lick.jpg	2+			NMM				LICK-ENVELOPE-v	Accept+	LICK_ENVELOPE.1
1944888	1945888	1000	A4	449	act254wade.jpg	1							Don't know	Reject	DONT KNOW
