Begin Time - msec	End Time - msec	Duration - msec	Block	Trial no	Stimulus	Handedness	Comments_CF	Comments_DF	NMM	Compound signs	Comments_ZS	Response Translation	Response Status	Lemma Gloss (ASLLEX)	ID Gloss ASLLEX	Comments_JB
186459	188059	1600	O3	68	camera.png	2-						CAMERA-n	Accept++		CAMERA	
189224	190752	1528	O3	69	mouse2.png	1						MOUSE-n	Accept++		MOUSE	
192096	193696	1600	O3	70	obj350razor.jpg	1						RAZOR-n	Accept++		RAZOR	
194961	196575	1614	O3	71	obj035beard.jpg	2+						BEARD-n	Accept++		BEARD	
198333	199933	1600	O3	72	obj514wolf.jpg	1						WOLF-n	Accept++		WOLF	
201241	203055	1814	O3	73	obj062bridge.jpg	2-						BRIDGE-n	Accept++		BRIDGE	
204513	206213	1700	O3	74	corn2.png	2+						CORN-n	Accept++		CORN_2	
207513	209285	1772	O3	75	obj121deer.jpg	2+						DEER-n	Accept++		DEER	
210478	212035	1557	O3	76	obj394shoulder.jpg	1						SHOULDER-n	Accept++		SHOULDER.1	
213121	214706	1585	O3	77	obj157fish.jpg	1	added variant screenshot_FISH.1					FISH-n	Accept++		FISH	
216149	217549	1400	O3	78	strawberry2.png	1	added variant screenshot_STRAWBERRY.2				is this accepted sign for 'strawberry'?	STRAWBERRY-n	Accept+-		STRAWBERRY.3	
218642	220699	2057	O3	79	icecream.png	1						ICECREAM-n	Accept++		ICECREAM	
221663	223392	1729	O3	80	obj119cup.jpg	2-						CUP-n	Accept++		CUP	
224835	226392	1557	O3	81	obj095church.jpg	2-						CHURCH-n	Accept++		CHURCH	
227563	229592	2029	O3	82	obj078canoe.jpg	2-	added variant screenshot_CANOE.1			BOAT+PADDLE	reject this because a phrase response	BOAT-n, PADDLE-v	Reject		BOAT, PADDLE	
230870	232399	1529	O3	83	obj064brush.jpg	1					changed from BRUSH to COMB.1 (because handshape)	BRUSH-v	Accept++		COMB_2	
233970	235642	1672	O3	84	boat.png	2+						BOAT-n	Accept++		BOAT	
236914	238485	1571	O3	85	obj320pineapple.jpg	2-						PINEAPPLE-n	Accept++		PINEAPPLE	
239807	241192	1385	O3	86	airplane2.png	1						AIRPLANE-n	Accept++		AIRPLANE	
242578	244264	1686	O3	87	football3.png	2+						FOOTBALL-n	Accept++		FOOTBALL	
245781	247638	1857	O3	88	obj489waiter.jpg	2+	added variant screenshot_WAITER.1					WAITER-n	Accept++		WAITER.1	
249143	250743	1600	O3	89	obj389sheep.jpg	2-						SHEEP-n	Accept++		SHEEP	
251865	253536	1671	O3	90	motorcycle.png	2-						MOTORCYCLE-n	Accept++		MOTORCYCLE	
254765	256265	1500	O3	91	salt.png	2-						SALT-n	Accept++		SALT	
257494	258994	1500	O3	92	obj251lobster.jpg	2+						LOBSTER-n	Accept++		LOBSTER	
260330	261944	1614	O3	93	train.png	2-						TRAIN-n	Accept++		TRAIN	
263273	264987	1714	O3	94	obj204helmet.jpg	2+						HELMET-n	Accept++		HELMET	
266409	267966	1557	O3	95	pencil.png	2-					changed from PEN to WRITE, and from REJECT to ++	WRITE-v	Reject		WRITE	
269409	271009	1600	O3	96	obj353rhinoceros.jpg	1						RHINO-n	Accept++		RHINO	
272517	274002	1485	O3	97	obj127doctor.jpg	2-					changed from +- to ++	DOCTOR-n	Accept++		DOCTOR.1	
275481	277167	1686	O3	98	obj392shirt.jpg	2+						SHIRT-n	Accept++		SHIRT.1	
278387	279987	1600	O3	99	knife2.png	2-	added variant screenshot_KNIIFE.1					KNIFE.1-n	Accept++		KNIFE.1	
281495	283037	1542	O3	100	horse.png	1						HORSE-n	Accept++		HORSE	
284288	285902	1614	O3	101	obj144egg.jpg	2+						EGG-n	Accept++		EGG	
286888	288931	2043	O3	102	obj349rake.jpg	2+					changed from RAKE to RAKE-CA, added vid to fmp	RAKE-n	Accept++		RAKE-CA	
290559	292288	1729	O3	103	obj220jacket.jpg	2+						SHIRT	Reject		SHIRT	
293631	295259	1628	O3	104	obj047wood.jpg	2-						WOOD-n	Accept++		WOOD	
296910	298381	1471	O3	105	obj143earring.jpg	1							Reject			
299567	301038	1471	O3	106	bird2.png	1						BIRD-n	Accept++		BIRD	
302238	303810	1572	O3	107	obj188guitar.jpg	2-						GUITAR-n	Accept++		GUITAR	
305246	306703	1457	O3	108	obj444teeth.jpg	2+						strange sign for TEETH	Reject		??	
308208	309723	1515	O3	109	ball.png	2+						BALL-n	Accept++		BALL	
311015	312487	1472	O3	110	obj075candle.jpg	2-						CANDLE-n	Accept++		CANDLE	
313659	315259	1600	O3	111	butterfly2.png	2+						BUTTERFLY-n	Accept++		BUTTERFLY	
316695	318352	1657	O3	112	obj259match.jpg	2-						MATCH-n, LIGHT-n	Reject		MATCH, LIGHT	
319859	321545	1686	O3	113	obj252lock.jpg	2-						~LOCK-n	Reject		LOCK	
323024	324352	1328	O3	114	obj180glass.jpg	2-						GLASS-n	Accept++		GLASS	
325738	327124	1386	O3	115	squirrel.png	2+	added variant screenshot_SQUIRREL.1				this is similar to ASLLEX, remove variant, code as SQUIRREL	SQUIRREL.n	Accept++		SQUIRREL	
328481	329881	1400	O3	116	obj319pillow.jpg	2+						PILLOW-n	Accept++		PILLOW.1	
330974	332560	1586	O3	117	apple2.png	1						APPLE-n	Accept++		APPLE	
333703	335446	1743	O3	118	obj376saw.jpg	2-					changed from SAW.1 to WOOD (see ASLLEX)	SAW-n	Accept++		WOOD	
336808	338551	1743	O3	119	helicopter.png	2-						HELICOPTER-n	Accept++		HELICOPTER	
339715	341258	1543	O3	120	sandwich.png	2+	added variant screenshot_SANDWICH.1					SANDWICH-n	Accept++		SANDWICH	
342579	344279	1700	O3	121	obj423stethoscope.jpg	2+					Not good sign; ZS agree. It's like tracing	tracing	Reject			
345922	347351	1429	O3	122	pig.png	1						PIG-n	Accept++		PIG	
348915	350401	1486	O3	123	obj038bee.jpg	1						~BUG	Reject			
351794	353437	1643	O3	124	obj145elephant.jpg	1						ELEPHANT-n	Accept++		ELEPHANT	
355094	356694	1600	O3	125	obj307pear.jpg	2-						PEAR-n	Accept++		PEAR	
358202	359887	1685	O3	126	obj011arm.jpg	2-						ARM-n	Accept++		ARM	
361564	362978	1414	O3	127	obj074can.jpg	2-	added variant screenshot_CAN.2				changed from CAN.1 to CUP	CAN-n	Accept++		CUP	
364421	365993	1572	O3	128	obj276music.jpg	2-						MUSIC-n	Accept++		MUSIC	
367772	369400	1628	O3	129	obj304peach.jpg	1						PEACH-n	Accept++		PEACH	
370608	372151	1543	O3	130	obj168fork.jpg	2-						FORK-n	Accept++		FORK	
373472	374944	1472	O3	131	rabbit.png	2+						RABBIT-n	Accept++		RABBIT.1	
376987	378344	1357	O3	132	obj301parachute.jpg	1						DON'T KNOW	Reject		DON'T KNOW	
379787	381230	1443	O3	133	obj513witch.jpg	1						WITCH-n	Accept++		WITCH.2	
382516	384058	1542	O3	134	golf.png	2+						GOLF-n	Accept++		GOLF	
385366	387037	1671	O3	135	telephone.png	2-						?? pager?	Reject		??	
388251	389851	1600	O3	136	wristwatch.png	2-						WRISTWATCH-n	Accept++		WRISTWATCH.1	
391059	392573	1514	O3	137	newspaper.png	2-						NEWSPAPER-n	Accept++		NEWSPAPER	
394138	396281	2143	O3	138	jelly3.png	2-						~JELLY	Reject		JELLY	
398174	399531	1357	O3	139	stars.png	2-						EVENING	Reject		EVENING	
401143	402758	1615	O3	140	salad2.png	1						DON'T KNOW	Reject			
404015	405586	1571	O3	141	sweater.png	2+						SWEATER-n	Accept++		SWEATER	
408074	409803	1729	O3	142	farm.png	1						~FARM	Reject		FARM	
422433	424019	1586	O4	144	obj516worm.jpg	2-						WORM-n	Accept++		WORM	
425462	426819	1357	O4	145	tomato2.png	2-						?	Reject		?	
427962	429376	1414	O4	146	obj089chair.jpg	2-						SIT-v	Accept++		SIT	
430734	432319	1585	O4	147	obj248lipstick.jpg	1						LIPSTICK-n	Accept++		LIPSTICK	
433534	435134	1600	O4	148	bed2.png	2+					changed from BED to BED.1	BED-n	Accept++		BED.1	
436170	437813	1643	O4	149	flower3.png	1						FLOWER-n	Accept++		FLOWER	
438713	439999	1286	O4	150	book2.png	2+						BOOK-n	Accept++		BOOK	
441321	442764	1443	O4	151	obj116cross.jpg	1						CROSS-n	Accept++		CROSS	
443950	445150	1200	O4	152	obj052boot.jpg	2+						BOOT-n	Accept++		BOOT	
446386	447986	1600	O4	153	obj262microscope.jpg	2+						MICROSCOPE-n	Accept++		MICROSCOPE	
449351	450894	1543	O4	154	obj365rope.jpg	2+						ROPE-n	Accept++		ROPE	
452030	453587	1557	O4	155	obj401skis.jpg	2+						SKI-n	Accept++		SKI	
454758	456373	1615	O4	156	obj186grapes.jpg	2-						GRAPES-n	Accept++		GRAPES	
457501	459173	1672	O4	157	obj236leaf.jpg	2-						LEAF-n	Accept++		LEAF.1	
460873	462373	1500	O4	158	obj126dinosaur.jpg	1					unsure about this sign, coded +-	dinosaur-n	Accept+-		DINOSAUR.1	
463402	465016	1614	O4	159	obj050bone.jpg	2+						BONE-n	Accept++		BONE	
466174	467859	1685	O4	160	spoon2.png	2-	changed from SPOON.1 to SPOON (same HS)					SPOON-n	Accept++		SPOON	
469038	470552	1514	O4	161	obj287onion.jpg	1						ONION-n	Accept++		ONION	
471660	472974	1314	O4	162	obj411sock.jpg	2+						SOCK-n	Accept++		SOCKS	
474182	475796	1614	O4	163	obj294paint.jpg	2-					changed from PAINT.2 ?? to PAINTBRUSH	PAINT-n	Accept++		PAINTBRUSH	
477397	478725	1328	O4	164	obj458toilet.jpg	1						TOILET-n	Accept++		TOILET	
479883	481454	1571	O4	165	obj442tear.jpg	1						TEAR-n	Accept++		TEAR	
482618	484161	1543	O4	166	cat.png	1						CAT-n	Accept++		CAT	
485554	487197	1643	O4	167	carrot2.png	1						CARROT-n	Accept++		CARROT.1	
488668	490111	1443	O4	168	bottle2.png	1						MILK	Accept+-		MILK	
491797	493282	1485	O4	169	obj022bag.jpg	2+						BOWL-n	Reject			
494432	495989	1557	O4	170	obj235lawnmower.jpg	2+						LAWNMOWER-n	Accept++		LAWNMOWER	
497303	498960	1657	O4	171	monkey.png	2+						MONKEY-n	Accept++		MONKEY	
500239	501867	1628	O4	172	obj269mop.jpg	2+						MOP-n	Accept++		MOP	
503475	504789	1314	O4	173	obj165fly.jpg	1						BUG	Reject		BUG	
506406	507706	1300	O4	174	obj265priest.jpg	1						PRIEST-n	Accept++		PRIEST	
508821	510364	1543	O4	175	obj299paper.jpg	2-						PAPER-n	Accept++		PAPER	
511555	513197	1642	O4	176	obj152fence.jpg	2+	added variant screenshot_FENCE.1					FENCE-n	Accept++		FENCE.1	
514526	516012	1486	O4	177	rooster.png	1						BIRD	Reject		BIRD	
517719	519062	1343	O4	178	obj322pipe.jpg	1					is this a legit variant of PIPE?	CIGAR	Reject		CIGAR	
520198	521840	1642	O4	179	obj134drawer.jpg	2+						DRAWER-n	Accept++		DRAWER	
523098	524741	1643	O4	180	obj396shower.jpg	1						SHOWER-n	Accept++		SHOWER	
526169	527627	1458	O4	181	obj475turkey.jpg	1	added variant sign_TURKEY.1					TURKEY-n	Accept++		TURKEY.1	
528891	530491	1600	O4	182	obj355ring.jpg	2-						RING-n	Accept++		RING	
532070	533813	1743	O4	183	obj085castle.jpg	2+					direction of movement is up	CASTLE-n	Accept++		CASTLE	
535106	536706	1600	O4	184	obj383screwdriver.jpg	2-	added variant screenshot_SCREWDRIVER.1				removed variant, looks similar to ASLLEX	SCREWDRIVER-n	Accept++		SCREWDRIVER	
538356	540028	1672	O4	185	obj185gorilla.jpg	2+						GORILLA-n	Accept++		GORILLA	
541385	542842	1457	O4	186	sun.png	1						SUN-n	Accept++		SUN	
544106	545535	1429	O4	187	obj507whistle.jpg	1					changed from WHISTLE.1 to WHISTLE.2, also now ++	WHISTLE-v	Accept++		WHISTLE.2	
546856	548656	1800	O4	188	obj361rollerskate.jpg	2+						ROLLERSKATE-n	Accept++		ROLLERSKATING	
549821	551735	1914	O4	189	obj026banana.jpg	2-						BANANA-n	Accept++		BANANA.1	
553371	554814	1443	O4	190	rain.png	2+						RAIN-n	Accept++		RAIN	
555957	557457	1500	O4	191	bread2.png	2-						BREAD-n	Accept++		BREAD	
558900	560486	1586	O4	192	obj509windmill.jpg	1						WINDMILL-n	Accept++		WINDMILL.2	
561601	563286	1685	O4	193	obj314piano.jpg	2+						PIANO-n	Accept++		PIANO	
564536	566351	1815	O4	194	obj225key.jpg	2-						KEY-n	Accept++		KEY	
567503	569261	1758	O4	195	shovel.png	2+						SHOVEL-n	Accept++		SHOVEL	
570604	572004	1400	O4	196	obj160flashlight.jpg	2-	added variant screenshot_FLASHLIGHT.1				I'm hesitant to accept, this looks like a CL to me	?FLASHLIGHT-CL	Accept+-		?FLASHLIGHT.2	
574183	575469	1286	O4	197	obj438tail.jpg	1						?	Reject		?	
576676	578376	1700	O4	198	obj138drum.jpg	2+						DRUM-n	Accept++		DRUM	
579448	580905	1457	O4	199	obj393shoe.jpg	2+						SHOES-n	Accept++		SHOES	
582155	583841	1686	O4	200	giraffe.png	1						GIRAFFE-n	Accept++		GIRAFFE	
585145	586502	1357	O4	201	lamp.png	1					changed from +- to ++	LIGHT	Accept++		LIGHT	
587900	589329	1429	O4	202	obj184goat.jpg	1						GOAT-n	Accept++		GOAT	
590493	592136	1643	O4	203	obj279necklace.jpg	2+						NECKLACE-n	Accept++		NECKLACE.3	
593493	594907	1414	O4	204	obj284nurse.jpg	2-						NURSE-n	Accept++		NURSE	
596565	597779	1214	O4	205	obj174gas.jpg	2-						GAS-n	Accept++		GAS	
598937	600594	1657	O4	206	box2.png	2+						BOX-n	Accept++		BOX	
602073	603544	1471	O4	207	obj398skateboard.jpg	2-						SKATEBOARDING-n	Accept++		SKATEBOARDING	
604916	606401	1485	O4	208	obj275mushroom.jpg	2-						MUSHROOM-n	Accept++		MUSHROOM	
607551	609294	1743	O4	209	obj227kite.jpg	2-						KITE-n	Accept++		KITE	
610615	612230	1615	O4	210	obj120curtains.jpg	2+	added variant screenshot_CURTAIN.1					CURTAIN-n	Accept++		CURTAIN	
613387	615015	1628	O4	211	obj101cloud.jpg	2+						CLOUD-n	Accept++		CLOUD.3	
616423	618009	1586	O4	212	obj254magnet.jpg	2-						MAGNET-n	Accept+-		MAGNET.2	
619481	620895	1414	O4	213	obj129doll.jpg	1						DOLL-n	Accept++		DOLL	
622096	623767	1671	O4	214	obj190hair.jpg	1						?CL: hair	Reject		?	
625067	626653	1586	O4	215	obj272mountain.jpg	2+						CL: hill	Reject		?	
628139	629568	1429	O4	216	obj345radio.jpg	1						RADIO-n	Accept++		RADIO	
630603	632232	1629	O4	217	obj159flag.jpg	2-						FLAG-n	Accept++		FLAG	
633310	634967	1657	O4	218	obj054bowl.jpg	2+						BOWL-n	Accept++		BOWL	
636346	637803	1457	O4	219	obj122dentist.jpg	1						DENTIST-n	Accept++		DENTIST	
639282	640610	1328	O4	220	obj358rock.jpg	2-						ROCK-n	Accept++		ROCK	
641954	643482	1528	O4	221	lighting2.png	2-	added variant screenshot_LIGHTING.1				weird nondominant hand movement, but i think the dominant hand is similar to ASLLEX	LIGHTING-n	Accept++		LIGHTING	
645183	646826	1643	O4	222	stairs.png	1						STAIRS-n	Accept++		STAIRS	
648054	649626	1572	O4	223	obj179girl.jpg	1						GIRL-n	Accept++		GIRL	
651062	652433	1371	O4	224	obj161wine.jpg	1						don't know	Reject			
654097	655626	1529	O4	225	obj240letter.jpg	2-						LETTER-n	Accept++		LETTER	
656826	658497	1671	O4	226	man.png	1						MAN-n	Accept++		MAN	
660097	661497	1400	O4	227	obj150faucet.jpg	2+						FAUCET-n	Accept++		FAUCET	
662733	664190	1457	O4	228	obj096cigarette.jpg	1					changed this to SMOKE as per ASLLEX	SMOKING-n	Accept+-		SMOKING	
665511	666883	1372	O4	229	obj100clothespin.jpg	2-					changed from PEG.1 to PEG.4 (incorrectly glossed, not match with FMP_	PEG-n	Accept++		PEG.4	
668105	669919	1814	O4	230	obj044binoculars.jpg	2+						BINOCULARS-n	Accept++		BINOCULARS	
671048	672648	1600	O4	231	obj453tie.jpg	1	added variant screenshot_TIE.2					TIE-n	Accept++		TIE.2	
674113	675941	1828	O4	232	obj224kangaroo.jpg	2-	added variant screenshot_KANAGROO.1					KANAGROO-n	Accept+-		JUMP	
677577	679063	1486	O4	233	obj099clock.jpg	2+	added variant screenshot_CLOCK-CL					CLOCK-CL	Accept+-		CLOCK.2	
680485	682256	1771	O4	234	obj061bride.jpg	2+						BRIDE-n	Accept+-		BRIDE.1	
683449	685020	1571	O4	235	baby2.png	2-	added variant screenshot_BABY.1					BABY-n	Accept++		BABY_2	
686654	688354	1700	O4	236	obj433sweater.jpg	2+						SWEATER-n	Accept++		SWEATER	
689597	691340	1743	O4	237	obj125diaper.jpg	2+						DIAPER-n	Accept++		DIAPER	
692561	694104	1543	O4	238	city2.png	2+	added variant screenshot_CITY.1					CITY-n	Accept++		CITY	
695668	696968	1300	O4	239	washmachine.png	2+						?	Reject		?	
698597	700283	1686	O4	240	obj485violin.jpg	2-						VIOLIN-n	Accept++		VIOLIN	
701676	703233	1557	O4	241	obj114crackers.jpg	2-						CRACKER-n	Accept++		CRACKER	
704404	706090	1686	O4	242	obj510window.jpg	2-						WINDOW-n	Accept++		WINDOW	
707283	708869	1586	O4	243	obj356road.jpg	2+						ROAD-n	Accept++		ROAD	
710084	711455	1371	O4	244	pants.png	2+						PANTS-n	Accept++		PANTS.1	
712948	714619	1671	O4	245	lion.png	1						LION-n	Accept++		LION	
715919	717448	1529	O4	246	obj445telephone.jpg	1						TELEPHONE-n	Accept++		TELEPHONE	
718519	719976	1457	O4	247	hammer2.png	2-						HAMMER-v	Accept+-		HAMMER	
721355	722983	1628	O4	248	obj315picture.jpg	2-						PICTURE-n	Accept++		PICTURE	
724291	725991	1700	O4	249	obj241lettuce.jpg	2-						~CRACKER	Reject		~CLRACKER	
727134	728820	1686	O4	250	owl.png	2+						OWL-n	Accept++		OWL	
729999	731742	1743	O4	251	obj226king.jpg	1						KING-n	Accept++		KING	
732978	734692	1714	O4	252	obj213house.jpg	2+						HOUSE-n	Accept++		HOUSE	
735914	737571	1657	O4	253	obj449tent.jpg	2+						TENT-n	Accept++		TENT	
738778	740364	1586	O4	254	obj293paintbrush.jpg	2-					WEIRD SIGN	?	Reject		?	
742050	743421	1371	O4	255	obj091cherry.jpg	1						APPLE-n	Reject		APPLE	
744914	746485	1571	O4	256	obj285nut.jpg	2-	added variant screenshot_NUT.1					NUT-n	Accept++		NUT.1	
747621	749507	1886	O4	257	obj183glove.jpg	2-						GLOVE-n	Accept++		GLOVES.1	
750757	752072	1315	O4	258	obj447tv.jpg	1						TV-n	Accept++		TV	
753564	755050	1486	O4	259	obj201heart.jpg	2+						HEART-n	Accept++		HEART	
756729	758472	1743	O4	260	obj454tiger.jpg	2+						~TIGER	Reject		~TIGER	
759993	761479	1486	O4	261	bear.png	2+						BEAR-n	Accept++		BEAR	
762529	764015	1486	O4	262	obj000star.jpg	2+						STAR-n	Accept++		STAR	
765222	766737	1515	O4	263	obj400skirt.jpg	2+						SKIRT-n	Accept++		SKIRT	
767829	769329	1500	O4	264	table.png	2-						TABLE-n	Accept++		TABLE	
770615	772129	1514	O4	265	obj090cheese.jpg	2+						CHEESE-n	Accept++		CHEESE	
773280	774737	1457	O4	266	obj148eye.jpg	1						EYE-n	Accept++		EYES	
776344	777873	1529	O4	267	obj123desert.jpg	2+					handshape assimilation, but code as DESERT	DESERT-n	Accept++		DESERT	
779016	780358	1342	O4	268	obj332popcorn.jpg	2+						POPCORN-n	Accept++		POPCORN	
781695	783195	1500	O4	269	basketball2.png	2+						BASKETBALL-n	Accept++		BASKETBALL	
784395	785938	1543	O4	270	soup.png	2-						SOUP-n	Accept++		SOUP	
787031	788459	1428	O4	271	money.png	2-						MONEY-n	Accept++		MONEY	
789767	791281	1514	O4	272	balloon.png	2-					changed from BALLOON to BALLOON.1 handshape assimilation	BALLOON-n	Accept++		BALLOON.1	
792732	794489	1757	O4	273	garage.png	2-						GARAGE-n	Accept++		GARAGE	
795703	796946	1243	O4	274	milk2.png	1						MILK-n	Accept++		MILK	
798274	799746	1472	O4	275	soda2.png	2-						SODA-n	Accept++		SODA	
801160	802618	1458	O4	276	bath2.png	2+						BATH-n	Accept++		BATH	
803782	805325	1543	O4	277	baseball2.png	2+						BASEBALL-n	Accept++		BASEBALL	
806646	808032	1386	O4	278	tea.png	2-						TEA-n	Accept++		TEA	
888313	889870	1557	A3	287	act218plant.jpg	1						SOW-v	Accept++		SOW	
891225	892797	1572	A3	288	act139massage.jpg	2+						MASSAGE-v	Accept++		MASSAGE	
894304	895947	1643	A3	289	act215snow.jpg	2+					changed from SNOW.2 to SNOW.1	SNOW-v	Accept++		SNOW.1	
897743	899186	1443	A3	290	act048count.jpg	2-						point-to-finger-CA		Reject		?	
900572	902143	1571	A3	291	act201shower.jpg	1						SHOWER-v	Accept++		SHOWER	
903479	905179	1700	A3	292	act164pour.jpg	2-	added variant screenshot_POUR.2					POUR-v	Accept++		POUR.1	
906351	907765	1414	A3	293	act019bounce.jpg	2-	added variant screenshot_BOUNCE.1					BOUNCE	Accept++		BOUNCE	
909380	911008	1628	A3	294	act264whisper.jpg	1						WHISPER-v	Accept++		WHISPER	
912387	913630	1243	A3	295	act071dust.jpg	2-					changed from +- to ++	CLEAN-v	Accept++		CLEAN	
